ID,study,numberYawns,age,gender,trial,condition,presentation,type,demonstrator,familiar,live,secs
P1,JM et al,1,5,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P2,JM et al,5,8,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P3,JM et al,1,7,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P4,JM et al,1,4,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P5,JM et al,2,5,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P6,JM et al,0,15,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P7,JM et al,0,7,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P8,JM et al,1,15,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P9,JM et al,2,8,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P10,JM et al,1,5,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P11,JM et al,1,9,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P12,JM et al,1,8,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P13,JM et al,0,5,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P14,JM et al,4,9,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P15,JM et al,0,7,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P16,JM et al,2,7,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P17,JM et al,1,3,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P18,JM et al,0,12,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P19,JM et al,3,4,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P20,JM et al,1,6,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P21,JM et al,2,11,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P22,JM et al,0,3,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P23,JM et al,4,15,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P24,JM et al,3,7,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P25,JM et al,1,4,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P26,JM et al,0,12,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P27,JM et al,2,6,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P28,JM et al,1,3,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P29,JM et al,0,2,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P1,JM et al,0,5,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P2,JM et al,0,8,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P3,JM et al,0,7,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P4,JM et al,0,4,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P5,JM et al,0,5,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P6,JM et al,0,15,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P7,JM et al,0,7,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P8,JM et al,0,15,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P9,JM et al,0,8,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P10,JM et al,0,5,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P11,JM et al,0,9,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P12,JM et al,0,8,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P13,JM et al,0,5,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P14,JM et al,0,9,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P15,JM et al,0,7,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P16,JM et al,0,7,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P17,JM et al,0,3,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P18,JM et al,0,12,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P19,JM et al,0,4,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P20,JM et al,0,6,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P21,JM et al,0,11,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P22,JM et al,0,3,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P23,JM et al,0,15,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P24,JM et al,0,7,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P25,JM et al,0,4,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P26,JM et al,0,12,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P27,JM et al,0,6,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P28,JM et al,0,3,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P29,JM et al,0,2,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P30,ROM et al,2,5,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P31,ROM et al,1,6.166666667,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P32,ROM et al,0,6.666666667,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P33,ROM et al,0,1.916666667,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P34,ROM et al,0,4.75,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P35,ROM et al,1,9.25,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P36,ROM et al,0,1.25,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P37,ROM et al,0,9.666666667,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P38,ROM et al,0,8.5,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P39,ROM et al,0,8.583333333,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P40,ROM et al,0,3.166666667,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P41,ROM et al,0,8.75,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P42,ROM et al,0,9.333333333,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P43,ROM et al,0,8.333333333,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P44,ROM et al,0,3.333333333,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P45,ROM et al,0,10.33333333,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P46,ROM et al,0,4,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P47,ROM et al,4,4.416666667,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P48,ROM et al,1,4.5,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P49,ROM et al,2,6.916666667,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P50,ROM et al,3,4.166666667,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P51,ROM et al,0,6.166666667,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P52,ROM et al,2,11,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P53,ROM et al,2,2.166666667,F,,Yawning,V+A,Pet,Human,Familiar,Live,300
P54,ROM et al,0,1.416666667,M,,Yawning,V+A,Pet,Human,Familiar,Live,300
P30,ROM et al,0,5,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P31,ROM et al,1,6.166666667,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P32,ROM et al,0,6.666666667,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P33,ROM et al,0,1.916666667,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P34,ROM et al,1,4.75,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P35,ROM et al,0,9.25,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P36,ROM et al,0,1.25,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P37,ROM et al,0,9.666666667,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P38,ROM et al,0,8.5,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P39,ROM et al,0,8.583333333,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P40,ROM et al,0,3.166666667,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P41,ROM et al,0,8.75,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P42,ROM et al,0,9.333333333,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P43,ROM et al,0,8.333333333,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P44,ROM et al,0,3.333333333,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P45,ROM et al,0,10.33333333,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P46,ROM et al,0,4,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P47,ROM et al,2,4.416666667,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P48,ROM et al,0,4.5,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P49,ROM et al,0,6.916666667,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P50,ROM et al,2,4.166666667,M,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P51,ROM et al,1,6.166666667,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P52,ROM et al,0,11,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P53,ROM et al,0,2.166666667,F,,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P54,ROM et al,0,1.416666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P30,ROM et al,0,5,F,,Control,V+A,Pet,Human,Familiar,Live,300
P31,ROM et al,0,6.166666667,M,,Control,V+A,Pet,Human,Familiar,Live,300
P32,ROM et al,0,6.666666667,M,,Control,V+A,Pet,Human,Familiar,Live,300
P33,ROM et al,0,1.916666667,M,,Control,V+A,Pet,Human,Familiar,Live,300
P34,ROM et al,0,4.75,M,,Control,V+A,Pet,Human,Familiar,Live,300
P35,ROM et al,0,9.25,M,,Control,V+A,Pet,Human,Familiar,Live,300
P36,ROM et al,0,1.25,M,,Control,V+A,Pet,Human,Familiar,Live,300
P37,ROM et al,0,9.666666667,M,,Control,V+A,Pet,Human,Familiar,Live,300
P38,ROM et al,0,8.5,M,,Control,V+A,Pet,Human,Familiar,Live,300
P39,ROM et al,0,8.583333333,F,,Control,V+A,Pet,Human,Familiar,Live,300
P40,ROM et al,0,3.166666667,M,,Control,V+A,Pet,Human,Familiar,Live,300
P41,ROM et al,0,8.75,F,,Control,V+A,Pet,Human,Familiar,Live,300
P42,ROM et al,0,9.333333333,F,,Control,V+A,Pet,Human,Familiar,Live,300
P43,ROM et al,0,8.333333333,F,,Control,V+A,Pet,Human,Familiar,Live,300
P44,ROM et al,0,3.333333333,F,,Control,V+A,Pet,Human,Familiar,Live,300
P45,ROM et al,0,10.33333333,F,,Control,V+A,Pet,Human,Familiar,Live,300
P46,ROM et al,0,4,F,,Control,V+A,Pet,Human,Familiar,Live,300
P47,ROM et al,0,4.416666667,F,,Control,V+A,Pet,Human,Familiar,Live,300
P48,ROM et al,0,4.5,M,,Control,V+A,Pet,Human,Familiar,Live,300
P49,ROM et al,0,6.916666667,F,,Control,V+A,Pet,Human,Familiar,Live,300
P50,ROM et al,0,4.166666667,M,,Control,V+A,Pet,Human,Familiar,Live,300
P51,ROM et al,0,6.166666667,F,,Control,V+A,Pet,Human,Familiar,Live,300
P52,ROM et al,0,11,F,,Control,V+A,Pet,Human,Familiar,Live,300
P53,ROM et al,0,2.166666667,F,,Control,V+A,Pet,Human,Familiar,Live,300
P54,ROM et al,0,1.416666667,M,,Control,V+A,Pet,Human,Familiar,Live,300
P30,ROM et al,0,5,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P31,ROM et al,0,6.166666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P32,ROM et al,1,6.666666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P33,ROM et al,0,1.916666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P34,ROM et al,1,4.75,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P35,ROM et al,0,9.25,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P36,ROM et al,0,1.25,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P37,ROM et al,0,9.666666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P38,ROM et al,0,8.5,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P39,ROM et al,1,8.583333333,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P40,ROM et al,0,3.166666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P41,ROM et al,0,8.75,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P42,ROM et al,0,9.333333333,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P43,ROM et al,0,8.333333333,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P44,ROM et al,0,3.333333333,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P45,ROM et al,0,10.33333333,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P46,ROM et al,0,4,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P47,ROM et al,0,4.416666667,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P48,ROM et al,1,4.5,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P49,ROM et al,0,6.916666667,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P50,ROM et al,0,4.166666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P51,ROM et al,1,6.166666667,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P52,ROM et al,0,11,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P53,ROM et al,0,2.166666667,F,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P54,ROM et al,0,1.416666667,M,,Control,V+A,Pet,Human,Unfamiliar,Live,300
P55,SIL et al,0,9,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P56,SIL et al,0,10,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P57,SIL et al,1,1,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P58,SIL et al,2,2,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P59,SIL et al,0,6,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P60,SIL et al,1,2,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P61,SIL et al,2,1,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P62,SIL et al,0,3,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P63,SIL et al,1,10,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P64,SIL et al,1,4,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P65,SIL et al,0,8,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P66,SIL et al,0,5,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P67,SIL et al,0,2,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P68,SIL et al,0,3,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P69,SIL et al,0,10,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P70,SIL et al,0,4,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P71,SIL et al,0,6,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P72,SIL et al,0,6,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P73,SIL et al,0,8,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P74,SIL et al,1,8,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P75,SIL et al,2,3,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P76,SIL et al,0,8,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P77,SIL et al,1,6,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P78,SIL et al,0,5,M,,Yawning,A,Pet,Human,Familiar,Recording,50
P79,SIL et al,0,6,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P80,SIL et al,0,5,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P81,SIL et al,0,8,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P82,SIL et al,0,4,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P83,SIL et al,1,8,F,,Yawning,A,Pet,Human,Familiar,Recording,50
P55,SIL et al,0,9,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P56,SIL et al,0,10,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P57,SIL et al,0,1,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P58,SIL et al,1,2,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P59,SIL et al,0,6,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P60,SIL et al,0,2,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P61,SIL et al,0,1,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P62,SIL et al,0,3,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P63,SIL et al,1,10,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P64,SIL et al,0,4,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P65,SIL et al,0,8,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P66,SIL et al,0,5,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P67,SIL et al,0,2,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P68,SIL et al,1,3,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P69,SIL et al,0,10,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P70,SIL et al,0,4,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P71,SIL et al,0,6,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P72,SIL et al,0,6,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P73,SIL et al,0,8,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P74,SIL et al,0,8,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P75,SIL et al,0,3,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P76,SIL et al,0,8,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P77,SIL et al,0,6,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P78,SIL et al,0,5,M,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P79,SIL et al,0,6,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P80,SIL et al,0,5,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P81,SIL et al,0,8,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P82,SIL et al,0,4,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P83,SIL et al,0,8,F,,Yawning,A,Pet,Human,Unfamiliar,Recording,50
P55,SIL et al,0,9,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P56,SIL et al,0,10,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P57,SIL et al,0,1,M,,Control,A,Pet,Human,Unfamiliar,Recording,50
P58,SIL et al,1,2,M,,Control,A,Pet,Human,Unfamiliar,Recording,50
P59,SIL et al,0,6,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P60,SIL et al,0,2,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P61,SIL et al,0,1,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P62,SIL et al,0,3,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P63,SIL et al,0,10,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P64,SIL et al,0,4,M,,Control,A,Pet,Human,Unfamiliar,Recording,50
P65,SIL et al,0,8,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P66,SIL et al,0,5,M,,Control,A,Pet,Human,Unfamiliar,Recording,50
P67,SIL et al,0,2,M,,Control,A,Pet,Human,Unfamiliar,Recording,50
P68,SIL et al,0,3,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P69,SIL et al,0,10,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
P70,SIL et al,0,4,F,,Control,A,Pet,Human,Unfamiliar,Recording,50
