ID,study,numberYawns,age,gender,trial,condition,presentation,type,demonstrator,familiar,live,secs
P107,MAD et al,0,0.333333333,F,2,Control,V+A,Pet,Human,Familiar,Live,600
P108,MAD et al,0,0.416666667,F,2,Control,V+A,Pet,Human,Familiar,Live,600
P109,MAD et al,0,0.416666667,M,2,Control,V+A,Pet,Human,Familiar,Live,600
P110,MAD et al,0,0.416666667,F,4,Control,V+A,Pet,Human,Familiar,Live,600
P111,MAD et al,2,0.416666667,M,4,Control,V+A,Pet,Human,Familiar,Live,600
P112,MAD et al,1,0.416666667,M,4,Control,V+A,Pet,Human,Familiar,Live,600
P113,MAD et al,0,0.416666667,M,4,Control,V+A,Pet,Human,Familiar,Live,600
P114,MAD et al,0,0.5,M,4,Control,V+A,Pet,Human,Familiar,Live,600
P115,MAD et al,0,0.5,M,4,Control,V+A,Pet,Human,Familiar,Live,600
P116,MAD et al,0,0.5,F,4,Control,V+A,Pet,Human,Familiar,Live,600
P117,MAD et al,2,0.583333333,F,4,Control,V+A,Pet,Human,Familiar,Live,600
P118,MAD et al,1,0.583333333,M,4,Control,V+A,Pet,Human,Familiar,Live,600
P119,MAD et al,1,0.583333333,F,1,Control,V+A,Pet,Human,Familiar,Live,600
P120,MAD et al,0,0.583333333,F,1,Control,V+A,Pet,Human,Familiar,Live,600
P121,MAD et al,1,0.583333333,M,1,Control,V+A,Pet,Human,Familiar,Live,600
P122,MAD et al,3,0.666666667,M,1,Control,V+A,Pet,Human,Familiar,Live,600
P123,MAD et al,1,0.666666667,M,1,Control,V+A,Pet,Human,Familiar,Live,600
P124,MAD et al,0,0.666666667,F,1,Control,V+A,Pet,Human,Familiar,Live,600
P125,MAD et al,0,0.666666667,F,1,Control,V+A,Pet,Human,Familiar,Live,600
P126,MAD et al,0,0.666666667,M,1,Control,V+A,Pet,Human,Familiar,Live,600
P127,MAD et al,0,0.666666667,M,1,Control,V+A,Pet,Human,Familiar,Live,600
P128,MAD et al,6,0.666666667,M,3,Control,V+A,Pet,Human,Familiar,Live,600
P129,MAD et al,0,0.75,M,3,Control,V+A,Pet,Human,Familiar,Live,600
P130,MAD et al,0,0.75,F,3,Control,V+A,Pet,Human,Familiar,Live,600
P131,MAD et al,0,0.75,M,3,Control,V+A,Pet,Human,Familiar,Live,600
P132,MAD et al,2,0.75,M,3,Control,V+A,Pet,Human,Familiar,Live,600
P133,MAD et al,0,0.833333333,F,3,Control,V+A,Pet,Human,Familiar,Live,600
P134,MAD et al,0,0.833333333,M,3,Control,V+A,Pet,Human,Familiar,Live,600
P135,MAD et al,2,0.916666667,M,3,Control,V+A,Pet,Human,Familiar,Live,600
P136,MAD et al,0,0.916666667,M,3,Control,V+A,Pet,Human,Familiar,Live,600
P137,MAD et al,3,1.166666667,F,3,Control,V+A,Pet,Human,Familiar,Live,600
P103,MAD et al,0,0.333333333,M,3,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P104,MAD et al,0,0.333333333,F,3,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P105,MAD et al,0,0.333333333,M,3,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P106,MAD et al,0,0.333333333,M,3,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P107,MAD et al,2,0.333333333,F,3,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P108,MAD et al,0,0.416666667,F,3,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P109,MAD et al,1,0.416666667,M,3,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P110,MAD et al,1,0.416666667,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P111,MAD et al,3,0.416666667,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P112,MAD et al,2,0.416666667,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P113,MAD et al,3,0.416666667,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P114,MAD et al,0,0.5,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P115,MAD et al,1,0.5,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P116,MAD et al,1,0.5,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P117,MAD et al,0,0.583333333,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P118,MAD et al,1,0.583333333,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P119,MAD et al,1,0.583333333,F,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P120,MAD et al,2,0.583333333,F,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P121,MAD et al,1,0.583333333,M,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P122,MAD et al,0,0.666666667,M,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P123,MAD et al,1,0.666666667,M,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P124,MAD et al,0,0.666666667,F,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P125,MAD et al,2,0.666666667,F,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P126,MAD et al,4,0.666666667,M,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P127,MAD et al,2,0.666666667,M,4,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P128,MAD et al,0,0.666666667,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P129,MAD et al,3,0.75,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P130,MAD et al,2,0.75,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P131,MAD et al,2,0.75,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P132,MAD et al,4,0.75,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P133,MAD et al,0,0.833333333,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P134,MAD et al,1,0.833333333,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P135,MAD et al,2,0.916666667,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P136,MAD et al,3,0.916666667,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P137,MAD et al,2,1.166666667,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,600
P103,MAD et al,0,0.333333333,M,4,Control,V+A,Pet,Human,Unfamiliar,Live,600
P104,MAD et al,0,0.333333333,F,4,Control,V+A,Pet,Human,Unfamiliar,Live,600
P105,MAD et al,0,0.333333333,M,4,Control,V+A,Pet,Human,Unfamiliar,Live,600
P106,MAD et al,0,0.333333333,M,4,Control,V+A,Pet,Human,Unfamiliar,Live,600
P107,MAD et al,2,0.333333333,F,4,Control,V+A,Pet,Human,Unfamiliar,Live,600
P108,MAD et al,0,0.416666667,F,4,Control,V+A,Pet,Human,Unfamiliar,Live,600
P109,MAD et al,0,0.416666667,M,4,Control,V+A,Pet,Human,Unfamiliar,Live,600
P110,MAD et al,1,0.416666667,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P111,MAD et al,1,0.416666667,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P112,MAD et al,0,0.416666667,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P113,MAD et al,3,0.416666667,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P114,MAD et al,2,0.5,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P115,MAD et al,0,0.5,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P116,MAD et al,0,0.5,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P117,MAD et al,0,0.583333333,F,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P118,MAD et al,2,0.583333333,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,600
P119,MAD et al,1,0.583333333,F,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P120,MAD et al,1,0.583333333,F,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P121,MAD et al,0,0.583333333,M,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P122,MAD et al,0,0.666666667,M,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P123,MAD et al,1,0.666666667,M,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P124,MAD et al,0,0.666666667,F,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P125,MAD et al,0,0.666666667,F,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P126,MAD et al,0,0.666666667,M,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P127,MAD et al,1,0.666666667,M,3,Control,V+A,Pet,Human,Unfamiliar,Live,600
P128,MAD et al,0,0.666666667,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P129,MAD et al,0,0.75,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P130,MAD et al,1,0.75,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P131,MAD et al,1,0.75,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P132,MAD et al,1,0.75,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P133,MAD et al,0,0.833333333,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P134,MAD et al,0,0.833333333,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P135,MAD et al,1,0.916666667,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P136,MAD et al,1,0.916666667,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P137,MAD et al,1,1.166666667,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,600
P183,BT et al,3,0.67,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P184,BT et al,1,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P185,BT et al,0,3,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P186,BT et al,2,2,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P187,BT et al,0,0.67,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P188,BT et al,1,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P189,BT et al,0,2,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P190,BT et al,3,1,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P191,BT et al,0,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P192,BT et al,0,1,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P193,BT et al,1,3,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P194,BT et al,2,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P195,BT et al,4,1,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P196,BT et al,4,0.5,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P197,BT et al,0,0.83,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P198,BT et al,1,5,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P199,BT et al,1,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P200,BT et al,3,3,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P201,BT et al,1,2,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P202,BT et al,1,2,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P203,BT et al,1,2,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P204,BT et al,0,3,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P205,BT et al,1,1.5,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P206,BT et al,3,2,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P207,BT et al,1,0.83,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P208,BT et al,0,6,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P209,BT et al,1,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P210,BT et al,0,0.75,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P211,BT et al,0,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P212,BT et al,2,4,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P213,BT et al,2,0.58,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P214,BT et al,1,1,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P215,BT et al,0,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P216,BT et al,0,2,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P217,BT et al,1,1.17,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P218,BT et al,0,4,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P219,BT et al,1,1,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P220,BT et al,1,1.42,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P221,BT et al,0,3,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P222,BT et al,0,6,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P223,BT et al,3,2,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P224,BT et al,0,3,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P225,BT et al,0,0.83,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P226,BT et al,1,6,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P227,BT et al,0,2,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P228,BT et al,1,4,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P229,BT et al,0,6,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P230,BT et al,1,4,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P231,BT et al,0,0.75,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P232,BT et al,0,5,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P233,BT et al,1,1,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P234,BT et al,0,1,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P235,BT et al,0,1.67,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P236,BT et al,0,1.83,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P237,BT et al,0,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P238,BT et al,1,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P239,BT et al,2,2,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P240,BT et al,1,5,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P241,BT et al,4,0.83,F,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P242,BT et al,0,1,M,,Yawning,V+A,Shelter,Human,Unfamiliar,Live,600
P183,BT et al,2,0.67,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P184,BT et al,0,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P185,BT et al,0,3,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P186,BT et al,4,2,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P187,BT et al,0,0.67,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P188,BT et al,0,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P189,BT et al,0,2,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P190,BT et al,1,1,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P191,BT et al,0,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P192,BT et al,7,1,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P193,BT et al,1,3,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P194,BT et al,3,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P195,BT et al,2,1,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P196,BT et al,0,0.5,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P197,BT et al,0,0.83,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P198,BT et al,0,5,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P199,BT et al,4,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P200,BT et al,4,3,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P201,BT et al,1,2,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P202,BT et al,0,2,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P203,BT et al,1,2,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P204,BT et al,0,3,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P205,BT et al,1,1.5,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P206,BT et al,2,2,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P207,BT et al,1,0.83,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P208,BT et al,0,6,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P209,BT et al,1,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P210,BT et al,0,0.75,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P211,BT et al,0,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P212,BT et al,1,4,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P213,BT et al,0,0.58,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P214,BT et al,4,1,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P215,BT et al,1,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P216,BT et al,0,2,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P217,BT et al,3,1.17,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P218,BT et al,0,4,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P219,BT et al,0,1,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P220,BT et al,1,1.42,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P221,BT et al,0,3,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P222,BT et al,2,6,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P223,BT et al,1,2,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P224,BT et al,0,3,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P225,BT et al,0,0.83,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P226,BT et al,1,6,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P227,BT et al,0,2,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P228,BT et al,2,4,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P229,BT et al,0,6,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P230,BT et al,0,4,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P231,BT et al,0,0.75,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P232,BT et al,2,5,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P233,BT et al,3,1,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P234,BT et al,0,1,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P235,BT et al,1,1.67,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P236,BT et al,1,1.83,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P237,BT et al,2,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P238,BT et al,1,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P239,BT et al,0,2,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P240,BT et al,2,5,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P241,BT et al,0,0.83,F,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
P242,BT et al,0,1,M,,Control,V+A,Shelter,Human,Unfamiliar,Live,600
